央视频道,#genre#
CCTV3,http://223.72.11.159:8022/rtp/228.1.1.191:8002
CCTV4欧洲,http://223.72.11.159:8022/rtp/228.1.1.213:4220
CCTV4美洲,http://223.72.11.159:8022/rtp/228.1.1.203:4220
CCTV5+,http://223.72.11.159:8022/rtp/228.1.1.23:8004
CCTV8,http://223.72.11.159:8022/rtp/228.1.1.194:8002
CCTV10,http://223.72.11.159:8022/rtp/228.1.1.29:8116
CCTV13,http://223.72.11.159:8022/rtp/228.1.1.212:8128
CCTV14,http://223.72.11.159:8022/rtp/228.1.1.31:8132
CCTV16,http://223.72.11.159:8022/rtp/228.1.1.215:8002
CCTV高网频道,http://223.72.11.159:8022/rtp/228.1.1.169:4120
卫视频道,#genre#
湖南卫视,http://223.72.11.159:8022/rtp/228.1.1.33:8012
江苏卫视,http://223.72.11.159:8022/rtp/228.1.1.37:8028
东方卫视,http://223.72.11.159:8022/rtp/228.1.1.39:8032
辽宁卫视,http://223.72.11.159:8022/rtp/228.1.1.19:8056
海南卫视,http://223.72.11.159:8022/rtp/228.1.1.81:8304
山东卫视,http://223.72.11.159:8022/rtp/228.1.1.18:8052
天津卫视,http://223.72.11.159:8022/rtp/228.1.1.15:1234
甘肃卫视,http://223.72.11.159:8022/rtp/228.1.1.61:8188
广西卫视,http://223.72.11.159:8022/rtp/228.1.1.80:8300
黑龙江卫视,http://223.72.11.159:8022/rtp/228.1.1.35:8016
河南卫视,http://223.72.11.159:8022/rtp/228.1.1.50:8128
湖北卫视,http://223.72.11.159:8022/rtp/228.1.1.16:8044
吉林卫视,http://223.72.11.159:8022/rtp/228.1.1.214:8172
内蒙古卫视,http://223.72.11.159:8022/rtp/228.1.1.59:8176
宁夏卫视,http://223.72.11.159:8022/rtp/228.1.1.49:8124
山���卫视,http://223.72.11.159:8022/rtp/228.1.1.58:8172
陕西卫视,http://223.72.11.159:8022/rtp/228.1.1.53:8140
四川卫视,http://223.72.11.159:8022/rtp/228.1.1.77:8288
新疆卫视,http://223.72.11.159:8022/rtp/228.1.1.56:8160
云南卫视,http://223.72.11.159:8022/rtp/228.1.1.44:8108
厦门卫视,http://223.72.11.159:8022/rtp/228.1.1.176:4120
青海卫视,http://223.72.11.159:8022/rtp/228.1.1.60:8184
西藏卫视,http://223.72.11.159:8022/rtp/228.1.1.57:8164
兵团卫视,http://223.72.11.159:8022/rtp/228.1.1.177:4120
三沙卫视,http://223.72.11.159:8022/rtp/228.1.1.186:4120
金鹰卡通,http://223.72.11.159:8022/rtp/228.1.1.92:9252
嘉佳卡通,http://223.72.11.159:8022/rtp/228.1.1.93:9268
数字频道,#genre#
国学频道,http://223.72.11.159:8022/rtp/228.1.1.158:4120
武术世界,http://223.72.11.159:8022/rtp/228.1.1.168:4120
动感音乐,http://223.72.11.159:8022/rtp/228.1.1.151:4120
财富天下,http://223.72.11.159:8022/rtp/228.1.1.90:9136
电影频道,#genre#
家庭影院,http://223.72.11.159:8022/rtp/228.1.1.174:4120
经典电影,http://223.72.11.159:8022/rtp/228.1.1.89:9024
教育频道,#genre#
中国教育1,http://223.72.11.159:8022/rtp/228.1.1.32:8152
中国教育2,http://223.72.11.159:8022/rtp/228.1.1.97:4120
中国教育4,http://223.72.11.159:8022/rtp/228.1.1.99:4120
CGTN,http://223.72.11.159:8022/rtp/228.1.1.204:4220
CGTN,http://223.72.11.159:8022/rtp/228.1.1.205:4220
CGTN阿语,http://223.72.11.159:8022/rtp/228.1.1.208:4220
华东地区,#genre#
山东教育,http://223.72.11.159:8022/rtp/228.1.1.96:4120
华北地区,#genre#
北京影视,http://223.72.11.159:8022/rtp/228.1.1.190:8000
北京生活,http://223.72.11.159:8022/rtp/228.1.1.198:8000
北京纪实科教,http://223.72.11.159:8022/rtp/228.1.1.196:8000
北京体育休闲,http://223.72.11.159:8022/rtp/228.1.1.117:8000
北京卡酷少儿,http://223.72.11.159:8022/rtp/228.1.1.195:8000
北京国际频道,http://223.72.11.159:8022/rtp/228.1.1.111:8000
幸福剧场,http://223.72.11.159:8022/rtp/228.1.1.133:8001
幸福娱乐,http://223.72.11.159:8022/rtp/228.1.1.128:8001
朝阳融媒,http://223.72.11.159:8022/rtp/228.1.1.140:8001
通州融媒,http://223.72.11.159:8022/rtp/228.1.1.139:8001
延庆电视台,http://223.72.11.159:8022/rtp/228.1.1.219:8002
风尚生活,http://223.72.11.159:8022/rtp/228.1.1.152:4120
华中地区,#genre#
金鹰纪实,http://223.72.11.159:8022/rtp/228.1.1.34:8156
其他频道,#genre#
中国交通,http://223.72.11.159:8022/rtp/228.1.1.222:8002
光影,http://223.72.11.159:8022/rtp/228.1.1.165:4120
军事,http://223.72.11.159:8022/rtp/228.1.1.157:4120
军旅剧场,http://223.72.11.159:8022/rtp/228.1.1.149:4120
动作影院,http://223.72.11.159:8022/rtp/228.1.1.173:4120
动画,http://223.72.11.159:8022/rtp/228.1.1.161:4120
古装剧场,http://223.72.11.159:8022/rtp/228.1.1.150:4120
台球,http://223.72.11.159:8022/rtp/228.1.1.166:4120
喜剧影院,http://223.72.11.159:8022/rtp/228.1.1.172:4120
城市剧场,http://223.72.11.159:8022/rtp/228.1.1.148:4120
墨宝,http://223.72.11.159:8022/rtp/228.1.1.164:4120
好学生,http://223.72.11.159:8022/rtp/228.1.1.162:4120
少儿动画,http://223.72.11.159:8022/rtp/228.1.1.83:9000
戏曲,http://223.72.11.159:8022/rtp/228.1.1.159:4120
收视指南,http://223.72.11.159:8022/rtp/228.1.1.108:8012
早教,http://223.72.11.159:8022/rtp/228.1.1.160:4120
星影,http://223.72.11.159:8022/rtp/228.1.1.175:4120
武侠剧场,http://223.72.11.159:8022/rtp/228.1.1.171:4120
淘剧场,http://223.72.11.159:8022/rtp/228.1.1.126:8001
淘电影,http://223.72.11.159:8022/rtp/228.1.1.124:8001
热播剧场,http://223.72.11.159:8022/rtp/228.1.1.88:9020
爱上4K,http://223.72.11.159:8022/rtp/228.1.1.38:2000
爱生活,http://223.72.11.159:8022/rtp/228.1.1.167:4120
睛彩广场舞,http://223.72.11.159:8022/rtp/228.1.1.226:8002
睛彩竞技,http://223.72.11.159:8022/rtp/228.1.1.223:8002
睛彩羽毛球,http://223.72.11.159:8022/rtp/228.1.1.225:8002
精选,http://223.72.11.159:8022/rtp/228.1.1.155:4120
美人,http://223.72.11.159:8022/rtp/228.1.1.154:4120
美妆,http://223.72.11.159:8022/rtp/228.1.1.153:4120
萌宠TV,http://223.72.11.159:8022/rtp/228.1.1.135:8002
解密,http://223.72.11.159:8022/rtp/228.1.1.156:4120
足球,http://223.72.11.159:8022/rtp/228.1.1.170:4120
鉴赏,http://223.72.11.159:8022/rtp/228.1.1.163:4120
魅力时尚,http://223.72.11.159:8022/rtp/228.1.1.86:9012
更新时间,#genre#
2025-08-16 20:08:20,https://taoiptv.com/time.mp4
