四川广电,#group#
CCTV,#genre#
CCTV-1综合,http://ajsccn.f3322.net:4022/udp/239.132.1.1:5000
CCTV-2财经,http://ajsccn.f3322.net:4022/udp/239.132.1.2:5000
CCTV-3综艺,http://ajsccn.f3322.net:4022/udp/239.132.1.3:5000
CCTV-4中文国际,http://ajsccn.f3322.net:4022/udp/239.132.1.4:5000
CCTV-5体育,http://ajsccn.f3322.net:4022/udp/239.132.1.5:5000
CCTV-6电影,http://ajsccn.f3322.net:4022/udp/239.132.1.6:5000
CCTV-7国防军事,http://ajsccn.f3322.net:4022/udp/239.132.1.7:5000
CCTV-8电视剧,http://ajsccn.f3322.net:4022/udp/239.132.1.8:5000
CCTV-9纪录,http://ajsccn.f3322.net:4022/udp/239.132.1.9:5000
CCTV-10科教,http://ajsccn.f3322.net:4022/udp/239.132.1.10:5000
CCTV-11戏曲,http://ajsccn.f3322.net:4022/udp/239.132.1.11:5000
CCTV-12社会与法,http://ajsccn.f3322.net:4022/udp/239.132.1.12:5000
CCTV-13新闻,http://ajsccn.f3322.net:4022/udp/239.132.1.13:5000
CCTV-14少儿,http://ajsccn.f3322.net:4022/udp/239.132.1.14:5000
CCTV-15音乐,http://ajsccn.f3322.net:4022/udp/239.132.1.15:5000
CCTV-5+,http://ajsccn.f3322.net:4022/udp/239.132.1.16:5000
卫视,#genre#
北京卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.17:5000
江苏卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.18:5000
东方卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.19:5000
深圳卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.20:5000
湖南卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.21:5000
浙江卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.22:5000
山东卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.23:5000
东南卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.24:5000
安徽卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.25:5000
贵州卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.26:5000
天津卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.27:5000
湖北卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.28:5000
重庆卫视,http://ajsccn.f3322.net:4022/udp/239.132.1.29:5000
CHC影迷电影,http://ajsccn.f3322.net:4022/udp/239.132.1.30:5000
