4K乐享超清专区,rtp://239.93.10.246:8106
4K视界专区,rtp://239.93.11.165:9978
CCTV10高清,rtp://239.93.10.65:8384
CCTV11高清,rtp://239.93.10.129:7914
CCTV12高清,rtp://239.93.10.68:8402
CCTV13高清,rtp://239.93.11.210:8278
CCTV15高清,rtp://239.93.10.131:7918
CCTV17高清,rtp://239.93.10.154:7832
CCTV1高清,rtp://239.93.10.133:9260
CCTV2高清,rtp://239.93.10.60:8354
CCTV3高清,rtp://239.93.10.141:9320
CCTV4K,rtp://239.93.11.16:7040
CCTV4高清,rtp://239.93.11.186:7728
CCTV5高清,rtp://239.93.10.143:9332
CCTV5高清,rtp://239.93.10.78:8462
CCTV6高清,rtp://239.93.10.144:9338
CCTV7高清,rtp://239.93.10.64:8378
CCTV8高清,rtp://239.93.10.145:9344
CCTV9高清,rtp://239.93.10.61:8360
CCTV少儿高清,rtp://239.93.10.69:8408
CETV1 高清,rtp://239.93.10.8:7812
CETV2,rtp://239.93.11.191:7982
CETV4高清,rtp://239.93.10.128:7828
CGTN法语,rtp://239.93.11.205:8836
CGTN英语,rtp://239.93.11.206:8844
CGTN西班牙语,rtp://239.93.11.204:8832
CHC动作电影,rtp://239.93.10.224:8884
CHC家庭影院,rtp://239.93.10.220:8876
CHC影迷电影,rtp://239.93.10.222:8880
SCTV2高清,rtp://239.93.10.71:8420
SCTV3高清,rtp://239.93.10.41:8240
SCTV4高清,rtp://239.93.11.179:7720
SCTV5高清,rtp://239.93.10.188:9600
SCTV6高清,rtp://239.93.10.113:7824
SCTV7高清,rtp://239.93.11.87:7348
SCTV科教高清,rtp://239.93.10.209:8274
三沙卫视,rtp://239.93.10.50:8294
东南卫视高清,rtp://239.93.11.89:7356
东方卫视高清,rtp://239.93.10.216:9768
东方财经高清,rtp://239.93.10.223:9810
凤凰卫视,rtp://239.93.10.31:8012
凤凰资讯,rtp://239.93.10.118:8708
星空卫视,rtp://239.93.10.190:9612
中国交通,rtp://239.93.11.174:7760
中国体育1,rtp://239.93.10.241:8766
中国体育2,rtp://239.93.11.242:8770
中国体育3,rtp://239.93.11.243:8774
中国天气,rtp://239.93.11.21:7062
中录动漫4K专区,rtp://239.93.10.235:8090
乐游,rtp://239.93.10.1:8824
乐龄学堂专区,rtp://239.93.11.216:8868
书画频道,rtp://239.93.10.21:7064
云南卫视高清,rtp://239.93.10.43:8252
云演艺宣传,rtp://239.93.10.130:8780
云看熊猫专区,rtp://239.93.10.253:9990
亲子趣学4K专区,rtp://239.93.10.236:8094
付费频道,rtp://239.93.11.171:7686
优漫卡通,rtp://239.93.10.105:8624
健康养生专区,rtp://239.93.10.165:9974
先锋乒羽,rtp://239.93.11.215:8864
全球大片专区,rtp://239.93.10.169:9486
兵团卫视,rtp://239.93.11.254:7796
内蒙古卫视,rtp://239.93.10.52:8306
军事高清专区,rtp://239.93.10.250:9972
动漫秀场,rtp://239.93.10.233:8082
北京卫视高清,rtp://239.93.10.137:9296
北京纪实科教高清,rtp://239.93.10.187:9994
华西证券,rtp://239.93.10.206:8840
华语影院专区,rtp://239.93.10.205:9702
卡酷动画,rtp://239.93.10.82:8486
厦门卫视,rtp://239.93.10.242:9924
吉林卫视高清,rtp://239.93.10.221:9798
嘉佳卡通,rtp://239.93.10.158:9432
四川乡村频道高清,rtp://239.93.10.97:7820
四川卫视高清,rtp://239.93.10.107:8636
四川省首届“蜀乡村歌”大赛总决赛,rtp://239.93.11.27:8170
四海钓鱼,rtp://239.93.11.22:7066
地方卫视1,rtp://239.93.11.169:7678
地方卫视2,rtp://239.93.11.170:7682
地理高清专区,rtp://239.93.10.81:8480
墨宝高清专区,rtp://239.93.10.155:7836
大爱四川高清专区,rtp://239.93.10.184:9576
大爱旅游高清专区,rtp://239.93.10.225:8016
大爱时尚高清专区,rtp://239.93.10.228:8028
大爱生活高清专区,rtp://239.93.10.226:8020
天元围棋,rtp://239.93.10.214:8860
天津卫视高清,rtp://239.93.10.125:8750
天翼高清1,rtp://239.93.11.7:7014
天翼高清10,rtp://239.93.11.14:7032
天翼高清11,rtp://239.93.11.15:7034
天翼高清12,rtp://239.93.10.15:7036
天翼高清2,rtp://239.93.11.8:7016
天翼高清3,rtp://239.93.11.9:7018
天翼高清4,rtp://239.93.10.9:7020
天翼高清5,rtp://239.93.10.10:7022
天翼高清6,rtp://239.93.11.10:7024
天翼高清7,rtp://239.93.11.11:7026
天翼高清8,rtp://239.93.11.12:7028
天翼高清9,rtp://239.93.11.13:7030
央视频道1,rtp://239.93.11.164:7658
央视频道2,rtp://239.93.11.49:7176
宁夏卫视,rtp://239.93.10.152:9386
安多卫视,rtp://239.93.10.181:7756
安徽卫视高清,rtp://239.93.11.190:7974
宝宝动画高清专区,rtp://239.93.10.196:9648
导视专区,rtp://239.93.10.217:9774
少儿动画高清专区,rtp://239.93.10.161:9456
少儿天地专区,rtp://239.93.11.249:8804
山东卫视高清,rtp://239.93.10.126:8756
山东教育卫视,rtp://239.93.10.3:8828
山西卫视,rtp://239.93.10.36:8210
峨眉电影高清,rtp://239.93.10.116:8696
广东卫视高清,rtp://239.93.10.132:9254
广西卫视高清,rtp://239.93.11.208:8266
康巴卫视高清,rtp://239.93.10.212:8344
延边卫视,rtp://239.93.10.156:9410
快乐垂钓,rtp://239.93.10.6:7010
戏曲专区,rtp://239.93.10.243:9930
戏曲精选专区,rtp://239.93.11.80:7304
收视导视3,rtp://239.93.10.16:7038
收视指南专区,rtp://239.93.10.62:8366
新疆卫视,rtp://239.93.10.53:8312
星光院线专区,rtp://239.93.10.204:9696
星空精选高清专区,rtp://239.93.10.103:8612
本地频道1,rtp://239.93.11.167:7670
本地频道2,rtp://239.93.11.51:7184
来钓鱼吧专区,rtp://239.93.11.224:8496
梨园,rtp://239.93.10.249:9966
欢笑剧场4K,rtp://239.93.10.5:7000
求索频道高清,rtp://239.93.10.240:8740
江苏卫视高清,rtp://239.93.10.194:9636
江西卫视高清,rtp://239.93.11.214:7748
河北卫视高清,rtp://239.93.11.180:7752
河南卫视高清,rtp://239.93.11.209:8270
法治天地,rtp://239.93.11.231:8674
浙江卫视高清,rtp://239.93.10.215:9762
海南卫视,rtp://239.93.10.227:9834
深圳卫视高清,rtp://239.93.10.139:9308
游戏风云,rtp://239.93.10.207:9714
湖北卫视高清,rtp://239.93.10.127:8762
湖南卫视高清,rtp://239.93.10.193:9630
炫动卡通,rtp://239.93.10.106:8630
热播剧场专区,rtp://239.93.10.244:9936
热门剧场专区,rtp://239.93.10.203:9690
热门卫视,rtp://239.93.11.50:7180
热门综艺高清专区,rtp://239.93.10.192:9624
熊猫24小时专区,rtp://239.93.10.229:8032
熊猫体娱高清专区,rtp://239.93.10.109:8648
熊猫少儿高清专区,rtp://239.93.10.178:9540
熊猫影院专区,rtp://239.93.10.110:8654
熊猫新闻高清专区,rtp://239.93.10.99:8588
熊猫爱生活高清专区,rtp://239.93.10.32:8186
爱上4K专区,rtp://239.93.11.252:8816
爱体育专区,rtp://239.93.10.12:8066
爱体育专区,rtp://239.93.11.235:8690
爱动漫专区,rtp://239.93.11.239:8736
爱历史专区,rtp://239.93.11.229:8592
爱喜剧专区,rtp://239.93.11.225:8500
爱奇谈专区,rtp://239.93.11.238:8722
爱宠宠物专区,rtp://239.93.11.247:8796
爱幼教专区,rtp://239.93.11.233:8682
爱悬疑专区,rtp://239.93.11.228:8576
爱旅行专区,rtp://239.93.11.232:8678
爱浪漫专区,rtp://239.93.11.237:8718
爱玩具专区,rtp://239.93.11.234:8686
爱生活高清专区,rtp://239.93.10.14:8078
爱科幻专区,rtp://239.93.11.226:8568
爱谍战专区,rtp://239.93.11.230:8596
爱赛车专区,rtp://239.93.11.236:8700
爱院线专区,rtp://239.93.11.227:8572
环球旅游,rtp://239.93.11.246:8792
甘肃卫视高清,rtp://239.93.10.49:8288
生活时尚,rtp://239.93.11.175:7706
生活时尚,rtp://239.93.11.244:8784
电竞天堂高清专区,rtp://239.93.10.208:9720
百变课堂专区,rtp://239.93.10.176:9976
精彩导视,rtp://239.93.10.122:8732
精彩影视,rtp://239.93.10.234:8086
精彩推荐专区,rtp://239.93.11.217:8416
红原日干乔,rtp://239.93.11.213:8428
红原月亮湾,rtp://239.93.10.213:8424
红色影院专区,rtp://239.93.10.238:9900
经典剧场专区,rtp://239.93.10.237:9894
经典电影专区,rtp://239.93.10.163:9444
绚影4K专区,rtp://239.93.11.248:8800
综合卫视,rtp://239.93.11.168:7674
茶频道,rtp://239.93.11.5:7004
西藏卫视,rtp://239.93.10.51:8300
解密高清专区,rtp://239.93.10.219:9786
谍战剧场专区,rtp://239.93.10.166:9468
财富天下,rtp://239.93.10.248:9960
贵州卫视高清,rtp://239.93.11.201:7744
足球高清专区,rtp://239.93.10.13:8072
辽宁卫视高清,rtp://239.93.10.191:7978
遂宁公共高清,rtp://239.93.10.26:8150
遂宁综合高清,rtp://239.93.11.176:7764
都市剧场,rtp://239.93.11.245:8788
重庆卫视高清,rtp://239.93.10.7:8024
金熊猫卡通高清专区,rtp://239.93.10.104:8618
金色学堂,rtp://239.93.10.11:8060
金鹰卡通,rtp://239.93.10.218:9780
金鹰纪实高清,rtp://239.93.11.199:7740
陕西农林,rtp://239.93.10.173:7942
陕西卫视高清,rtp://239.93.10.185:9992
雅克音乐季宣传,rtp://239.93.11.207:8852
雅克音乐季直播,rtp://239.93.11.211:8848
青春动漫专区,rtp://239.93.10.197:9654
青海卫视,rtp://239.93.10.44:8258
音乐现场高清专区,rtp://239.93.10.162:9438
高清直播室1,rtp://239.93.10.28:8162
高清直播室2,rtp://239.93.10.23:8132
高清直播室3,rtp://239.93.10.167:9474
高清直播室4,rtp://239.93.10.138:9302
高清直播室5,rtp://239.93.10.142:9326
高清直播室6,rtp://239.93.10.182:9404
高清直播室7,rtp://239.93.10.147:9350
高清直播室8,rtp://239.93.10.2:8042
魅力时尚高清专区,rtp://239.93.10.164:9450
魅力足球,rtp://239.93.10.39:8228
麻辣体育专区,rtp://239.93.10.210:9732
黑龙江卫视高清,rtp://239.93.10.140:9314
