
http://211.148.208.77:9988/udp/230.177.1.223:3223
http://222.125.175.172:9000/udp/230.177.1.223:3223
http://36.36.251.199:9000/udp/230.177.1.223:3223

http://222.125.175.172:9000/udp/230.177.0.216:3216

东南卫视高清,udp://230.177.0.248:3248
重温经典高清,udp://230.177.1.101:3101
澳视澳门高清,udp://230.177.0.36:3036
中央十七台高清,udp://230.177.1.121:3121
中央九台高清,udp://230.177.1.231:3231
中教四台职业教育高清,udp://230.177.1.79:3079
CGTN高清,udp://230.177.0.122:3122
CCTV4K奥林匹克,udp://230.177.1.127:3127
广东卫视高清,udp://230.177.0.212:3212
大湾区卫视,udp://230.177.1.77:3077
广东珠江,udp://230.177.0.32:3032
广东民生,udp://230.177.0.76:3076
广东新闻,udp://230.177.1.81:3081
广 东少儿,udp://230.177.0.82:3082
嘉佳卡通,udp://230.177.1.115:3115
广东经济科教,udp://230.177.0.188:3188
广东体育高清,udp://230.177.1.239:3239
广东4K超高清,udp://230.177.1.169:3169
岭南戏曲,udp://230.177.0.190:3190
广州新闻(试传),udp://230.177.1.55:3055
三沙卫视高清,udp://230.177.1.147:3147
中教一台综合教育高清,udp://230.177.1.51:3051
中教二台空中课堂,udp://230.177.1.63:3063
CCTV4K超高清,udp://230.177.1.217:3217
陕西卫视高清,udp://230.177.0.126:3126
明珠台高清,udp://230.177.1.125:3125
翡翠台高清,udp://230.177.0.124:3124
央视奥林匹克高清,udp://230.177.1.205:3205
深圳卫视高清,udp://230.177.0.214:3214
深视都市高清,udp://230.177.0.219:3219
深视电视剧高清,udp://230.177.0.220:3220
深视财经生活高清,udp://230.177.0.245:3245
深视少儿高清,udp://230.177.0.247:3247
天威TVG高清,udp://230.177.0.216:3216
中央二台高清,udp://230.177.0.238:3238
中央三台高清,udp://230.177.0.222:3222
中央四台高清,udp://230.177.1.105:3105
中央五台高清,udp://230.177.1.223:3223
深视体育健康高清,udp://230.177.0.229:3229
央视体育赛事高清,udp://230.177.1.201:3201
中央六台高清,udp://230.177.0.224:3224
中央七台高清,udp://230.177.0.230:3230
中央八台高清,udp://230.177.1.225:3225
中央十台高清,udp://230.177.0.232:3232
中央十一台高清,udp://230.177.1.139:3139
中央十二台高清,udp://230.177.0.233:3233
央视新闻高清,udp://230.177.1.123:3123
央视少儿高清,udp://230.177.0.234:3234
央视音乐高清,udp://230.177.0.144:3144
江苏卫视高清,udp://230.177.1.209:3209
北京卫视高清,udp://230.177.1.207:3207
湖南卫视高清,udp://230.177.0.208:3208
东方卫视高清,udp://230.177.1.213:3213
黑龙江卫视高清,udp://230.177.0.206:3206
浙江卫视高清,udp://230.177.0.210:3210
天津卫视高清,udp://230.177.0.226:3226
山东卫视高清,udp://230.177.0.228:3228
湖北卫视高清,udp://230.177.1.227:3227
重庆卫视高清,udp://230.177.1.237:3237
辽宁卫视高清,udp://230.177.0.236:3236
安徽卫视高清,udp://230.177.1.235:3235
四川卫视高清,udp://230.177.0.244:3244
河北卫视高清,udp://230.177.0.204:3204
贵州卫视高清,udp://230.177.1.251:3251
江西卫视高清,udp://230.177.0.252:3252
吉林卫视高清,udp://230.177.0.240:3240
河南卫视高清,udp://230.177.1.243:3243
云南卫视高清,udp://230.177.1.215:3215
翡翠台,udp://230.177.0.33:3033
澳亚卫视,udp://230.177.0.98:3098
明珠台,udp://230.177.0.35:3035
凤凰中文,udp://230.177.1.37:3037
内蒙卫视,udp://230.177.0.86:3086
星空卫视,udp://230.177.1.91:3091
甘肃卫视,udp://230.177.1.85:3085
西藏卫视,udp://230.177.1.87:3087
兵团卫视,udp://230.177.0.108:3108
新疆卫视,udp://230.177.0.56:3056
聚鲨环球精选高清,udp://230.177.0.154:3154
深圳宝安频道高清,udp://230.177.0.52:3052
中央一台高清,udp://230.177.1.211:3211
海南卫视高清,udp://230.177.1.193:3193
宁夏卫视,udp://230.177.1.165:3165
青海卫视,udp://230.177.0.84:3084
