天津卫视,rtp://225.2.1.111:5000
天津新闻,rtp://225.2.1.130:5000
天津文艺,rtp://225.2.1.131:5000
天津影视,rtp://225.2.1.149:5000
天津都市,rtp://225.2.1.128:5000
天津体育,rtp://225.2.1.122:5000
天津教育,rtp://225.2.1.129:5000
蓟州,rtp://239.0.2.78:5000
宝坻 SD,rtp://239.0.2.79:5000
静海 SD,rtp://239.0.2.80:5000
河东 SD,rtp://239.0.2.62:5000
滨海1 SD,rtp://239.0.2.67:5000
滨海2 SD,rtp://239.0.2.68:5000
大港油田企业,rtp://239.0.2.74:5000
CCTV-1综合,rtp://225.2.1.120:5000
CCTV-2财经,rtp://225.2.1.133:5000
CCTV-3综艺,rtp://225.2.1.158:5000
CCTV-4中文国际,rtp://225.2.1.150:5000
CCTV-5体育,rtp://225.2.1.160:5000
CCTV-5+体育赛事,rtp://225.2.1.121:5000
CCTV-6电影,rtp://225.2.1.195:5000
CCTV-7国防军事,rtp://225.2.1.138:5000
CCTV-8电视剧,rtp://225.2.1.196:5000
CCTV-9纪录,rtp://225.2.1.119:5000
CCTV-10科教,rtp://225.2.1.140:5000
CCTV-11戏曲,rtp://239.0.2.192:5000
CCTV-12社会与法,rtp://225.2.1.142:5000
CCTV-13新闻,rtp://239.0.2.193:5000
CCTV-14少儿,rtp://225.2.1.144:5000
CCTV-15音乐,rtp://239.0.2.194:5000
CCTV-16奥林匹克,rtp://239.0.2.237:5000
CCTV-17农业农村,rtp://239.0.2.52:5000
CGTN SD,rtp://225.2.1.27:5000
CGTN纪录 SD,rtp://225.2.1.55:5000
黑龙江卫视,rtp://225.2.1.115:5000
广东卫视,rtp://225.2.1.116:5000
甘肃卫视,rtp://225.2.1.159:5000
海南卫视,rtp://239.0.2.82:5000
浙江卫视,rtp://225.2.1.112:5000
湖南卫视,rtp://225.2.1.114:5000
湖北卫视,rtp://225.2.1.147:5000
四川卫视,rtp://225.2.1.123:5000
江西卫视,rtp://239.0.2.29:5000
辽宁卫视,rtp://225.2.1.154:5000
安徽卫视,rtp://225.2.1.127:5000
深圳卫视,rtp://225.2.1.117:5000
福建东南卫视,rtp://239.0.2.235:5000
吉林卫视,rtp://239.0.2.26:5000
上海东方卫视,rtp://239.0.2.31:5000
北京卫视,rtp://225.2.1.113:5000
河北卫视,rtp://239.0.2.27:5000
江苏卫视,rtp://225.2.1.126:5000
河南卫视,rtp://239.0.2.61:5000
重庆卫视,rtp://225.2.1.155:5000
贵州卫视,rtp://239.0.2.28:5000
青海卫视,rtp://225.2.1.251:5000
三沙卫视,rtp://225.2.1.182:5000
广西卫视,rtp://239.0.2.81:5000
云南卫视,rtp://225.2.1.250:5000
内蒙古卫视,rtp://225.2.1.165:5000
新疆卫视,rtp://225.2.1.166:5000
西藏卫视,rtp://225.2.1.167:5000
宁夏卫视,rtp://225.2.1.168:5000
兵团卫视,rtp://225.2.1.169:5000
陕西卫视 SD,rtp://225.2.1.41:5000
山西卫视 SD,rtp://225.2.1.50:5000
卡酷少儿 SD,rtp://225.2.1.58:5000
哈哈炫动 SD,rtp://225.2.1.62:5000
金鹰卡通,rtp://239.0.2.236:5000
北京纪实科教,rtp://239.0.2.30:5000
金鹰纪实,rtp://225.2.1.124:5000
山东教育卫视 SD,rtp://239.0.2.118:5000
中国天气,rtp://239.0.2.120:5000
中国交通,rtp://239.0.2.57:5000
风云足球,rtp://239.0.2.168:5000
高尔夫网球,rtp://239.0.2.169:5000
第一剧场,rtp://239.0.2.175:5000
怀旧剧场,rtp://239.0.2.173:5000
风云剧场,rtp://239.0.2.174:5000
世界地理,rtp://239.0.2.171:5000
兵器科技,rtp://239.0.2.166:5000
央视文化精品,rtp://239.0.2.177:5000
女性时尚,rtp://239.0.2.172:5000
风云音乐,rtp://239.0.2.176:5000
电视指南,rtp://239.0.2.167:5000
央视台球,rtp://239.0.2.170:5000
卫生健康,rtp://239.0.2.165:5000
CHC家庭影院,rtp://225.2.1.213:5000
CHC影迷电影,rtp://225.2.1.214:5000
CHC动作电影,rtp://225.2.1.215:5000
早期教育,rtp://239.0.2.207:5000
动漫秀场,rtp://225.2.1.134:5000
游戏风云,rtp://225.2.1.135:5000
IPTV5+,rtp://225.2.1.106:5000
羽球精品赛事,rtp://239.0.2.1:5000
欢笑剧场,rtp://225.2.1.139:5000
都市剧场,rtp://225.2.1.146:5000
精彩影视,rtp://225.2.1.141:5000
中华特产,rtp://239.0.2.248:5000
中华美食,rtp://225.2.1.77:5000
陶瓷,rtp://239.0.2.189:5000
生活时尚,rtp://225.2.1.143:5000
乐游,rtp://225.2.1.145:5000
金色学堂,rtp://225.2.1.85:5000
法治天地,rtp://225.2.1.84:5000
东方财经,rtp://225.2.1.247:5000
梨园频道,rtp://239.0.2.104:5000
