IPTV5＋HD,igmp://238.1.78.238:7776
CCTV-9HD,igmp://238.1.78.240:7792
CCTV-8HD,igmp://238.1.78.173:7256
CCTV-7HD,igmp://238.1.78.239:7784
CCTV-6HD,igmp://238.1.78.172:7248
CCTV-5HD,igmp://238.1.78.171:7240
CCTV-5＋HD,igmp://238.1.78.237:7768
CCTV-4HD,igmp://238.1.78.236:7760
CCTV-3HD,igmp://238.1.78.170:7232
CCTV-2HD,igmp://238.1.78.235:7752
CCTV-1HD,igmp://238.1.78.166:7200
CCTV-17HD,igmp://238.1.78.178:7296
CCTV-15HD,igmp://238.1.78.222:7648
CCTV-14HD,igmp://238.1.78.243:7816
CCTV-13HD,igmp://238.1.79.35:4392
CCTV-12HD,igmp://238.1.78.242:7808
CCTV-11HD,igmp://238.1.78.206:7502
CCTV-10HD,igmp://238.1.78.241:7800
中国教育-1HD,igmp://238.1.78.158:7136
浙江卫视HD,igmp://238.1.78.164:7184
央视台球(付费)HD,igmp://238.1.79.59:4608
央视精品(付费)HD,igmp://238.1.79.54:4568
武术(付费)HD,igmp://238.1.79.8:4176
文物(付费)HD,igmp://238.1.79.16:4240
天津卫视HD,igmp://238.1.78.20:6088
四川卫视HD,igmp://238.1.78.30:6168
世界地理(付费)HD,igmp://238.1.79.60:4616
生活时尚HD,igmp://238.1.78.155:7112
深圳卫视HD,igmp://238.1.78.156:7120
山东卫视HD,igmp://238.1.78.169:7224
女性时尚(付费)HD,igmp://238.1.79.55:4576
辽宁卫视HD,igmp://238.1.78.21:6096
梨园(付费)HD,igmp://238.1.79.10:4192
乐游HD,igmp://238.1.78.151:7080
快乐垂钓(付费)HD,igmp://238.1.79.31:4360
金鹰纪实HD,igmp://238.1.79.9:4184
江西卫视HD,igmp://238.1.78.26:6136
江苏卫视HD,igmp://238.1.78.165:7192
家庭影院(付费)HD,igmp://238.1.79.22:4288
吉林卫视HD,igmp://238.1.79.48:4496
徽生活HD,igmp://238.1.79.37:4408
怀旧剧场(付费)HD,igmp://238.1.79.61:4624
湖南卫视HD,igmp://238.1.78.160:7152
湖北卫视HD,igmp://238.1.78.168:7216
黑龙江卫视HD,igmp://238.1.78.159:7144
河南卫视HD,igmp://238.1.79.65:4632
河北卫视HD,igmp://238.1.78.245:7832
合肥新闻HD,igmp://238.1.78.111:6760
海豚影视HD,igmp://238.1.79.34:4384
海豚生活HD,igmp://238.1.79.50:4512
海豚少儿HD,igmp://238.1.79.32:4368
