
CCTV-1综合,udp/239.12.22.3:10001
CCTV-2财经,udp/239.12.22.27:10001
CCTV-3综艺,udp/239.12.22.5:10001
CCTV-4中文国际,udp/239.12.22.104:10001
CCTV-5体育,udp/239.12.22.6:10001
CCTV-5+体育赛事,udp/239.12.22.4:10001
CCTV-6电影,udp/239.12.22.7:10001
CCTV-7国防军事,udp/239.12.22.28:10001
CCTV-8电视剧,udp/239.12.22.8:10001
CCTV-9纪录,udp/239.12.22.29:10001
CCTV-10科教,udp/239.12.22.30:10001
CCTV-11戏曲,udp/239.12.22.102:10001
CCTV-12社会与法,udp/239.12.22.31:10001
CCTV-13新闻,udp/239.12.22.114:10001
CCTV-14少儿,udp/239.12.22.32:10001
CCTV-15音乐,udp/239.12.22.103:10001
CCTV-16奥林匹克,udp/239.12.22.124:10001
CCTV-16奥林匹克4K,udp/239.12.22.125:10001
CCTV-17农业农村,udp/239.12.22.101:10001
CCTV-4K超高清,udp/239.12.22.66:10001

重温经典,udp/239.12.22.148:10001
CETV1,udp/239.12.22.68:10001
CGTN(阿拉伯),udp/239.12.22.130:10001
CGTN(俄),udp/239.12.22.129:10001
CGTN(法),udp/239.12.22.128:10001
CGTN(西),udp/239.12.22.127:10001
CGTN,udp/239.12.22.126:10001
CHC动作电影,udp/239.12.22.70:10001
CHC家庭影院,udp/239.12.22.69:10001
CHC影迷电影,udp/239.12.22.11:10001

安徽卫视,udp/239.12.22.21:10001
北京卫视,udp/239.12.22.13:10001
东方卫视,udp/239.12.22.12:10001
东南卫视,udp/239.12.22.57:10001
甘肃卫视,udp/239.12.22.146:10001
广东卫视,udp/239.12.22.1:10001
广西卫视,udp/239.12.22.99:10001
贵州卫视,udp/239.12.22.23:10001
河北卫视,udp/239.12.22.26:10001
河南卫视,udp/239.12.22.64:10001
黑龙江卫视,udp/239.12.22.17:10001
湖北卫视,udp/239.12.22.20:10001
湖南卫视,udp/239.12.22.14:10001
吉林卫视,udp/239.12.22.87:10001
江苏卫视,udp/239.12.22.16:10001
江西卫视,udp/239.12.22.67:10001
辽宁卫视,udp/239.12.22.22:10001
三沙卫视,udp/239.12.22.132:10001
山东卫视,udp/239.12.22.19:10001
陕西卫视,udp/239.12.22.120:10001
深圳卫视,udp/239.12.22.9:10001
四川卫视,udp/239.12.22.24:10001
天津卫视,udp/239.12.22.18:10001
浙江卫视,udp/239.12.22.15:10001
重庆卫视,udp/239.12.22.25:10001

翡翠,udp/239.12.22.121:10001
明珠,udp/239.12.22.122:10001
澳视澳门,udp/239.12.22.76:10001

广东经济科教,udp/239.12.22.2:10001
广东南方购物,udp/239.12.22.93:10001
广东体育,udp/239.12.22.47:10001
广东珠江,udp/239.12.22.84:10001
广东4K超高清,udp/239.12.22.65:10001
广东广电导视,udp/239.12.22.85:10001

快乐垂钓,udp/239.12.22.35:10001
北京纪实科教,udp/239.12.22.100:10001
北京少儿,udp/239.12.22.149:10001
东方财经,udp/239.12.22.143:10001
动漫秀场,udp/239.12.22.61:10001
都市剧场,udp/239.12.22.59:10001
金色学堂,udp/239.12.22.144:10001
金鹰卡通,udp/239.12.22.117:10001
劲爆体育,udp/239.12.22.34:10001
精彩影视,udp/239.12.22.82:10001
乐游,udp/239.12.22.36:10001
梨园频道,udp/239.12.22.133:10001
魅力足球,udp/239.12.22.37:10001
求索纪录,udp/239.12.22.49:10001
生活时尚,udp/239.12.22.58:10001
文物宝库,udp/239.12.22.135:10001
武术世界,udp/239.12.22.134:10001
新视觉,udp/239.12.22.33:10001
游戏风云,udp/239.12.22.62:10001
中华美食,udp/239.12.22.115:10001
央广购物,udp/239.12.22.116:10001
家家购物,udp/239.12.22.145:10001
深圳宜和购物,udp/239.12.22.92:10001
聚鲨环球精选,udp/239.12.22.94:10001

南国都市4K,udp/239.12.22.107:10001
