湖南电信,#genre#
CCTV1,http://223.156.138.239:4022/udp/239.76.251.22:9000
CCTV1,http://223.156.138.239:4022/udp/239.76.251.87:9000
CCTV1,http://223.156.138.239:4022/udp/239.76.252.51:9000
CCTV1,http://223.156.138.239:4022/udp/239.76.253.151:9000
CCTV2,http://223.156.138.239:4022/udp/239.76.251.23:9000
CCTV2,http://223.156.138.239:4022/udp/239.76.252.52:9000
CCTV2,http://223.156.138.239:4022/udp/239.76.253.152:9000
CCTV3,http://223.156.138.239:4022/udp/239.76.251.24:9000
CCTV3,http://223.156.138.239:4022/udp/239.76.252.53:9000
CCTV3,http://223.156.138.239:4022/udp/239.76.253.153:9000
CCTV4,http://223.156.138.239:4022/udp/239.76.252.54:9000
CCTV4,http://223.156.138.239:4022/udp/239.76.253.154:9000
CCTV4欧洲,http://223.156.138.239:4022/udp/239.76.253.95:9000
CCTV4美洲,http://223.156.138.239:4022/udp/239.76.253.96:9000
CCTV5,http://223.156.138.239:4022/udp/239.76.251.26:9000
CCTV5,http://223.156.138.239:4022/udp/239.76.252.55:9000
CCTV5,http://223.156.138.239:4022/udp/239.76.253.155:9000
CCTV5,http://223.156.138.239:4022/udp/239.76.254.214:9000
CCTV5+,http://223.156.138.239:4022/udp/239.76.251.38:9000
CCTV5+,http://223.156.138.239:4022/udp/239.76.251.88:9000
CCTV5+,http://223.156.138.239:4022/udp/239.76.253.168:9000
CCTV5+,http://223.156.138.239:4022/udp/239.76.254.215:9000
CCTV5+,http://223.156.138.239:4022/udp/239.76.255.7:9000
CCTV6,http://223.156.138.239:4022/udp/239.76.251.27:9000
CCTV6,http://223.156.138.239:4022/udp/239.76.252.56:9000
CCTV6,http://223.156.138.239:4022/udp/239.76.253.156:9000
CCTV7,http://223.156.138.239:4022/udp/239.76.251.28:9000
CCTV7,http://223.156.138.239:4022/udp/239.76.252.57:9000
CCTV7,http://223.156.138.239:4022/udp/239.76.253.157:9000
CCTV8,http://223.156.138.239:4022/udp/239.76.251.29:9000
CCTV8,http://223.156.138.239:4022/udp/239.76.252.58:9000
CCTV8,http://223.156.138.239:4022/udp/239.76.253.158:9000
CCTV9,http://223.156.138.239:4022/udp/239.76.251.30:9000
CCTV9,http://223.156.138.239:4022/udp/239.76.252.59:9000
CCTV9,http://223.156.138.239:4022/udp/239.76.253.159:9000
CCTV10,http://223.156.138.239:4022/udp/239.76.251.31:9000
CCTV10,http://223.156.138.239:4022/udp/239.76.252.60:9000
CCTV10,http://223.156.138.239:4022/udp/239.76.253.160:9000
CCTV11,http://223.156.138.239:4022/udp/239.76.251.32:9000
CCTV11,http://223.156.138.239:4022/udp/239.76.252.251:9000
CCTV11,http://223.156.138.239:4022/udp/239.76.252.61:9000
CCTV12,http://223.156.138.239:4022/udp/239.76.251.33:9000
CCTV12,http://223.156.138.239:4022/udp/239.76.252.62:9000
CCTV12,http://223.156.138.239:4022/udp/239.76.253.162:9000
CCTV13,http://223.156.138.239:4022/udp/239.76.251.84:9000
CCTV13,http://223.156.138.239:4022/udp/239.76.252.63:9000
CCTV13,http://223.156.138.239:4022/udp/239.76.253.93:9000
CCTV14,http://223.156.138.239:4022/udp/239.76.251.35:9000
CCTV14,http://223.156.138.239:4022/udp/239.76.252.64:9000
CCTV14,http://223.156.138.239:4022/udp/239.76.253.164:9000
CCTV15,http://223.156.138.239:4022/udp/239.76.251.36:9000
CCTV15,http://223.156.138.239:4022/udp/239.76.252.252:9000
CCTV15,http://223.156.138.239:4022/udp/239.76.252.65:9000
CCTV16,http://223.156.138.239:4022/udp/239.76.253.98:9000
CCTV17,http://223.156.138.239:4022/udp/239.76.252.237:9000
CCTV17,http://223.156.138.239:4022/udp/239.76.252.238:9000
CCTV兵器科技,http://223.156.138.239:4022/udp/239.76.254.59:9000
CCTV第一剧场,http://223.156.138.239:4022/udp/239.76.254.49:9000
CCTV风云剧场,http://223.156.138.239:4022/udp/239.76.254.50:9000
CCTV风云音乐,http://223.156.138.239:4022/udp/239.76.254.51:9000
CCTV风云足球,http://223.156.138.239:4022/udp/239.76.254.52:9000
CCTV高尔夫网球,http://223.156.138.239:4022/udp/239.76.254.62:9000
CCTV怀旧剧场,http://223.156.138.239:4022/udp/239.76.254.53:9000
CCTV女性时尚,http://223.156.138.239:4022/udp/239.76.254.55:9000
CCTV世界地理,http://223.156.138.239:4022/udp/239.76.254.57:9000
CCTV央视台球,http://223.156.138.239:4022/udp/239.76.254.58:9000
CCTV央视文化精品,http://223.156.138.239:4022/udp/239.76.254.56:9000
CCTV电视指南,http://223.156.138.239:4022/udp/239.76.254.61:9000
CETV1,http://223.156.138.239:4022/udp/239.76.252.192:9000
CETV2,http://223.156.138.239:4022/udp/239.76.252.253:9000
CETV4,http://223.156.138.239:4022/udp/239.76.252.254:9000
CETV早期教育,http://223.156.138.239:4022/udp/239.76.254.202:9000
CGTN,http://223.156.138.239:4022/udp/239.76.251.37:9000
CGTN,http://223.156.138.239:4022/udp/239.76.252.66:9000
CGTN阿语,http://223.156.138.239:4022/udp/239.76.253.97:9000
CGTN俄语,http://223.156.138.239:4022/udp/239.76.253.86:9000
CGTN法语,http://223.156.138.239:4022/udp/239.76.253.87:9000
CGTN纪录,http://223.156.138.239:4022/udp/239.76.252.67:9000
CGTN西语,http://223.156.138.239:4022/udp/239.76.253.88:9000
CHC动作电影,http://223.156.138.239:4022/udp/239.76.252.243:9000
CHC家庭影院,http://223.156.138.239:4022/udp/239.76.252.241:9000
