央视,#genre#
CCTV-1 综合,http://117.114.153.18:8182/hls/TV00000000000000000099@HHZT.m3u8
CCTV-2 财经,http://117.114.153.18:8182/hls/TV00000000000000000140@HHZT.m3u8
CCTV-3 综艺 1080,http://117.114.153.18:8182/hls/TV00000000000000000104@HHZT.m3u8
CCTV-3 综艺 576,http://117.114.153.18:8182/hls/TV00000000000000000181@HHZT.m3u8
CCTV-4 中文国际,http://117.114.153.18:8182/hls/TV00000000000000000001@HHZT.m3u8
CCTV-5 体育 1080,http://117.114.153.18:8182/hls/TV00000000000000000105@HHZT.m3u8
CCTV-5 体育 576,http://117.114.153.18:8182/hls/TV00000000000000000182@HHZT.m3u8
CCTV-5+ 体育赛事,http://117.114.153.18:8182/hls/TV00000000000000000066@HHZT.m3u8
CCTV-6 电影,http://117.114.153.18:8182/hls/TV00000000000000000091@HHZT.m3u8
CCTV-7 国防军事,http://117.114.153.18:8182/hls/TV00000000000000000141@HHZT.m3u8
CCTV-8 电视剧,http://117.114.153.18:8182/hls/TV00000000000000000106@HHZT.m3u8
CCTV-9 纪录,http://117.114.153.18:8182/hls/TV00000000000000000142@HHZT.m3u8
CCTV-10 科教,http://117.114.153.18:8182/hls/TV00000000000000000143@HHZT.m3u8
CCTV-11 戏曲,http://117.114.153.18:8182/hls/TV00000000000000000002@HHZT.m3u8
CCTV-12 社会与法,http://117.114.153.18:8182/hls/TV00000000000000000144@HHZT.m3u8
CCTV-13 新闻,http://117.114.153.18:8182/hls/TV00000000000000000003@HHZT.m3u8
CCTV-14 少儿,http://117.114.153.18:8182/hls/TV00000000000000000005@HHZT.m3u8
CCTV-15 音乐,http://117.114.153.18:8182/hls/TV00000000000000000004@HHZT.m3u8
CCTV-16 奥林匹克,http://117.114.153.18:8182/hls/TV00000000000000000136@HHZT.m3u8
CCTV-17 农业农村,http://117.114.153.18:8182/hls/TV00000000000000000021@HHZT.m3u8

卫视,#genre#
湖南卫视 1080,http://117.114.153.18:8182/hls/TV00000000000000000148@HHZT.m3u8
湖南卫视 576,http://117.114.153.18:8182/hls/TV00000000000000000150@HHZT.m3u8
湖北卫视,http://117.114.153.18:8182/hls/TV00000000000000000086@HHZT.m3u8
浙江卫视,http://117.114.153.18:8182/hls/TV00000000000000000102@HHZT.m3u8
浙江卫视,http://117.114.153.18:8182/hls/TV00000000000000000197@HHZT.m3u8
江苏卫视,http://117.114.153.18:8182/hls/TV00000000000000000089@HHZT.m3u8
安徽卫视,http://117.114.153.18:8182/hls/TV00000000000000000087@HHZT.m3u8
上海东方卫视,http://117.114.153.18:8182/hls/TV00000000000000000138@HHZT.m3u8
北京卫视 1080,http://117.114.153.18:8182/hls/TV00000000000000000090@HHZT.m3u8
北京卫视 576,http://117.114.153.18:8182/hls/TV00000000000000000184@HHZT.m3u8
天津卫视 1080,http://117.114.153.18:8182/hls/TV00000000000000000085@HHZT.m3u8
天津卫视 576,http://117.114.153.18:8182/hls/TV00000000000000000187@HHZT.m3u8
辽宁卫视,http://117.114.153.18:8182/hls/TV00000000000000000119@HHZT.m3u8
黑龙江卫视,http://117.114.153.18:8182/hls/TV00000000000000000084@HHZT.m3u8
吉林卫视,http://117.114.153.18:8182/hls/TV00000000000000000039@HHZT.m3u8
河北卫视,http://117.114.153.18:8182/hls/TV00000000000000000013@HHZT.m3u8
河南卫视,http://117.114.153.18:8182/hls/TV00000000000000000016@HHZT.m3u8
山东卫视,http://117.114.153.18:8182/hls/TV00000000000000000083@HHZT.m3u8
山西卫视,http://117.114.153.18:8182/hls/TV00000000000000000030@HHZT.m3u8
江西卫视,http://117.114.153.18:8182/hls/TV00000000000000000019@HHZT.m3u8
福建东南卫视,http://117.114.153.18:8182/hls/TV00000000000000000156@HHZT.m3u8
重庆卫视,http://117.114.153.18:8182/hls/TV00000000000000000120@HHZT.m3u8
四川卫视,http://117.114.153.18:8182/hls/TV00000000000000000033@HHZT.m3u8
贵州卫视,http://117.114.153.18:8182/hls/TV00000000000000000040@HHZT.m3u8
云南卫视,http://117.114.153.18:8182/hls/TV00000000000000000028@HHZT.m3u8
甘肃卫视,http://117.114.153.18:8182/hls/TV00000000000000000014@HHZT.m3u8
宁夏卫视,http://117.114.153.18:8182/hls/TV00000000000000000018@HHZT.m3u8
陕西卫视,http://117.114.153.18:8182/hls/TV00000000000000000038@HHZT.m3u8
青海卫视,http://117.114.153.18:8182/hls/TV00000000000000000034@HHZT.m3u8
内蒙古卫视,http://117.114.153.18:8182/hls/TV00000000000000000010@HHZT.m3u8
新疆卫视,http://117.114.153.18:8182/hls/TV00000000000000000031@HHZT.m3u8
西藏卫视,http://117.114.153.18:8182/hls/TV00000000000000000035@HHZT.m3u8
广东卫视,http://117.114.153.18:8182/hls/TV00000000000000000027@HHZT.m3u8
广西卫视,http://117.114.153.18:8182/hls/TV00000000000000000037@HHZT.m3u8

地方台,#genre#
北京BRTV-纪实科教,http://117.114.153.18:8182/hls/TV00000000000000000020@HHZT.m3u8
北京BRTV-影视,http://117.114.153.18:8182/hls/TV00000000000000000022@HHZT.m3u8
北京BRTV-生活,http://117.114.153.18:8182/hls/TV00000000000000000023@HHZT.m3u8
北京BRTV-文艺,http://117.114.153.18:8182/hls/TV00000000000000000024@HHZT.m3u8
北京BRTV-新闻,http://117.114.153.18:8182/hls/TV00000000000000000025@HHZT.m3u8
北京BRTV-KAKU少儿,http://117.114.153.18:8182/hls/TV00000000000000000026@HHZT.m3u8
