北京卫视,rtp://235.254.199.66:7980
北京卫视4krtp://235.254.197.50:7980
北京卫视4krtp://235.254.197.52:7980
深圳卫视,rtp://235.254.199.71:7980
深圳卫视4Krtp://235.254.197.56:7980
广东卫视,rtp://235.254.197.186:7980
广东卫视4k,rtp://235.254.197.55:7980                                            
新疆卫视,rtp://235.254.197.178:7980
新疆卫视,rtp://235.254.199.173:7980
兵团卫视,rtp://235.254.197.183:7980
西藏卫视,rtp://235.254.197.184:7980
CETV1,rtp://235.254.199.196:7980
贵州卫视,rtp://235.254.199.185:7979
游戏直播,rtp://235.254.199.161:7980
天元围棋,rtp://235.254.197.177:7980
CETV4,rtp://235.254.197.53:7980
山东教育卫视,rtp://235.254.197.54:7980
中国交通,rtp://235.254.197.145:7980
CCTV卫生健康,rtp://235.254.197.146:7980
甘肃卫视高清,rtp://235.254.197.176:7980
重庆卫视超高清,rtp://235.254.197.237:7980
重庆红叶,rtp://235.254.199.188:7980
重庆红岩文化,rtp://235.254.199.182:7980
CCTV1,rtp://235.254.199.147:7980
CCTV电视指南,rtp://235.254.196.97:7980
CCTV兵器科技,rtp://235.254.196.98:7980
CCTV风云足球,rtp://235.254.196.99:7980
CCTV高尔夫网球,rtp://235.254.196.100:7980
CCTV央视台球,rtp://235.254.196.102:7980
CCTV世界地理,rtp://235.254.196.103:7980
CCTV女性时尚,rtp://235.254.196.104:7980
CCTV怀旧剧场,rtp://235.254.196.105:7980
CCTV风云剧场,rtp://235.254.196.106:7980
CCTV第一剧场,rtp://235.254.196.107:7980
CCTV风云音乐,rtp://235.254.196.108:7980
CCTV央视文化精品,rtp://235.254.196.109:7980
CCTV1,rtp://235.254.199.51:7980
CCTV1,rtp://235.254.199.147:7980
CCTV2,rtp://235.254.199.52:7980
CCTV3,rtp://235.254.199.53:7980
CCTV4,rtp://235.254.199.183:7980
CCTV5,rtp://235.254.199.54:7980
CCTV5+,rtp://235.254.199.121:7980
CCTV6,rtp://235.254.199.55:7980
CCTV7,rtp://235.254.199.56:7980
CCTV8,rtp://235.254.199.57:7980
CCTV9,rtp://235.254.199.58:7980
CCTV10,rtp://235.254.199.59:7980
CCTV11,rtp://235.254.197.161:7980
CCTV12,rtp://235.254.199.60:7980
CCTV13,rtp://235.254.197.162:7980
CCTV14,rtp://235.254.199.61:7980
CCTV15,rtp://235.254.197.163:7980
CCTV17,rtp://235.254.199.130:7980
湖南卫视,rtp://235.254.199.62:7980
浙江卫视,rtp://235.254.199.63:7980
江苏卫视,rtp://235.254.199.64:7980
安徽卫视,rtp://235.254.199.65:7980
天津卫视,rtp://235.254.199.67:7980
辽宁卫视,rtp://235.254.199.68:7980
山东卫视,rtp://235.254.199.69:7980
黑龙江卫视,rtp://235.254.199.70:7980
湖北卫视,rtp://235.254.199.72:7980
东方卫视,rtp://235.254.199.73:7980
甘肃卫视,rtp://235.254.197.176:7980
河北卫视,rtp://235.254.199.184:7980
贵州卫视,rtp://235.254.199.185:7980
重庆卫视,rtp://235.254.197.237:7980
山东教育,rtp://235.254.197.54:7980
新疆卫视,rtp://235.254.197.178:7980
新疆卫视,rtp://235.254.199.173:7980
兵团卫视,rtp://235.254.197.183:7980
西藏卫视,rtp://235.254.197.184:7980
重庆卫视,rtp://235.254.199.173:7980
重庆新闻,rtp://235.254.197.199:7980
重庆影视,rtp://235.254.199.180:7980
重庆都市,rtp://235.254.199.181:7980
重庆时尚,rtp://235.254.199.182:7980
重庆娱乐,rtp://235.254.199.187:7980
重庆公共农村,rtp://235.254.199.186:7980
重庆科教,rtp://235.254.199.188:7980
重庆少儿,rtp://235.254.199.166:7980
汽摩,rtp://235.254.199.169:7980
重庆移动,rtp://235.254.199.170:7980
求索纪录,rtp://235.254.199.251:7980
CHC家庭影院,rtp://235.254.199.246:7980
CHC动作电影,rtp://235.254.199.247:7980
CHC影迷电影,rtp://235.254.199.248:7980
CCTV电视指南,rtp://235.254.199.189:7980
CCTV兵器科技,rtp://235.254.199.202:7980
CCTV风云足球,rtp://235.254.199.204:7980
CCTV高尔夫网球,rtp://235.254.199.192:7980
CCTV央视台球,rtp://235.254.199.193:7980
CCTV世界地理,rtp://235.254.199.194:7980
CCTV女性时尚,rtp://235.254.199.195:7980
CCTV怀旧剧场,rtp://235.254.199.205:7980
CCTV风云剧场,rtp://235.254.199.207:7980
CCTV第一剧场,rtp://235.254.199.211:7980
CCTV风云音乐,rtp://235.254.199.208:7980
CCTV文化精品,rtp://235.254.199.210:7980
CCTV卫生健康,rtp://235.254.197.146:7980
中国交通,rtp://235.254.197.145:7980
CETV1,rtp://235.254.199.196:7980
CETV4,rtp://235.254.197.53:7980
爱上4K,rtp://235.254.199.102:7980
东方财经,rtp://235.254.199.103:7980
